year,GEOID,NAME,state,county,tract,total_units_b25024,units_1_detached,units_1_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_49,units_50_plus,mobile_home,boat_rv_van,total_housing_units,total_units_b25002,occupied_units,vacant_units,tenure_total,owner_occupied,renter_occupied,pop_in_occupied_total,pop_in_owner_occupied,pop_in_renter_occupied,median_income_all_occupied,median_income_owner_occupied,median_income_renter_occupied,units_by_tenure_total,owner_units_total,owner_1_detached,owner_1_attached,owner_2,owner_3_4,owner_5_9,owner_10_19,owner_20_49,owner_50_plus,owner_mobile_home,owner_boat_rv_van,renter_units_total,renter_1_detached,renter_1_attached,renter_2,renter_3_4,renter_5_9,renter_10_19,renter_20_49,renter_50_plus,renter_mobile_home,renter_boat_rv_van,median_owner_costs_total,median_owner_costs_with_mortgage,median_owner_costs_no_mortgage,median_household_income,single_family_units,pct_single_family,pct_vacant,pct_occupied,pct_renter_occupied,pct_owner_occupied,renter_single_family,pct_sf_renter_occupied,owner_renter_income_gap
2009,49035100700,"Census Tract 1007, Salt Lake County, Utah",49,035,100700,1543,416,22,213,405,173,116,70,128,0,0,1543,1543,1292,251,1292,408,884,2776,934,1842,27813.0,64750.0,21833.0,1292,408,318,8,23,17,7,0,35,0,0,0,884,54,14,169,267,146,71,35,128,0,0,1167.0,1385.0,404.0,27813.0,438,0.2838626053143227,0.16267012313674659,0.8373298768632534,0.6842105263157895,0.3157894736842105,68,0.1552511415525114,42917.0
2009,49035100800,"Census Tract 1008, Salt Lake County, Utah",49,035,100800,1559,110,20,54,80,84,284,461,466,0,0,1559,1559,1350,209,1350,341,1009,2317,447,1870,34643.0,41964.0,31845.0,1350,341,56,0,0,0,17,6,107,155,0,0,1009,54,20,33,80,46,270,286,220,0,0,631.0,944.0,457.0,34643.0,130,0.08338678640153944,0.1340602950609365,0.8659397049390635,0.7474074074074074,0.2525925925925926,74,0.5692307692307692,10119.0
2009,49035100900,"Census Tract 1009, Salt Lake County, Utah",49,035,100900,854,813,41,0,0,0,0,0,0,0,0,854,854,826,28,826,767,59,2433,2233,200,168636.0,168523.0,250001.0,826,767,726,41,0,0,0,0,0,0,0,0,59,59,0,0,0,0,0,0,0,0,0,2406.0,3036.0,904.0,168636.0,854,1.0,0.03278688524590164,0.9672131147540983,0.07142857142857142,0.9285714285714286,59,0.06908665105386416,-81478.0
2009,49035101000,"Census Tract 1010, Salt Lake County, Utah",49,035,101000,1481,978,80,220,100,61,42,0,0,0,0,1481,1481,1392,89,1392,902,490,3135,2040,1095,61094.0,82643.0,43421.0,1392,902,820,46,27,9,0,0,0,0,0,0,490,158,34,138,83,35,42,0,0,0,0,1480.0,1888.0,459.0,61094.0,1058,0.7143821742066172,0.06009453072248481,0.9399054692775152,0.35201149425287354,0.6479885057471264,192,0.18147448015122875,39222.0
2009,49035101100,"Census Tract 1011, Salt Lake County, Utah",49,035,101100,3638,606,44,70,522,441,441,511,1003,0,0,3638,3638,3156,482,3156,716,2440,5562,1213,4349,41308.0,58667.0,38271.0,3156,716,279,44,0,23,41,59,105,165,0,0,2440,218,0,35,429,301,382,342,733,0,0,829.0,1464.0,548.0,41308.0,650,0.17866959868059373,0.13249037932930183,0.8675096206706981,0.7731305449936628,0.22686945500633712,218,0.3353846153846154,20396.0
2009,49035101200,"Census Tract 1012, Salt Lake County, Utah",49,035,101200,2199,875,49,182,258,328,233,190,84,0,0,2199,2199,2014,185,2014,844,1170,3758,1975,1783,44765.0,94722.0,35302.0,2014,844,667,14,53,14,16,0,27,53,0,0,1170,121,22,129,244,312,191,120,31,0,0,1300.0,1894.0,446.0,44765.0,924,0.4201909959072306,0.08412914961346066,0.9158708503865394,0.5809334657398213,0.41906653426017876,143,0.15476190476190477,59420.0
2009,49035101300,"Census Tract 1013, Salt Lake County, Utah",49,035,101300,396,380,0,0,0,0,0,0,0,16,0,396,396,379,17,379,363,16,951,888,63,117212.0,129125.0,,379,363,363,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,1601.0,2847.0,859.0,117212.0,380,0.9595959595959596,0.04292929292929293,0.9570707070707071,0.04221635883905013,0.9577836411609498,0,0.0,
2009,49035101400,"Census Tract 1014, Salt Lake County, Utah",49,035,101400,1866,44,33,21,15,75,494,687,497,0,0,1866,1866,1778,88,1778,40,1738,4091,98,3993,19351.0,165313.0,19207.0,1778,40,26,0,7,0,0,0,0,7,0,0,1738,18,33,14,15,75,474,669,440,0,0,1188.0,,1001.0,19351.0,77,0.04126473740621651,0.04715969989281887,0.9528403001071811,0.9775028121484814,0.02249718785151856,51,0.6623376623376623,146106.0
2009,49035101500,"Census Tract 1015, Salt Lake County, Utah",49,035,101500,1796,430,90,202,308,221,173,224,148,0,0,1796,1796,1600,196,1600,478,1122,3070,1228,1842,35753.0,70139.0,26642.0,1600,478,303,41,34,0,14,5,32,49,0,0,1122,101,49,142,247,174,168,167,74,0,0,1331.0,1560.0,503.0,35753.0,520,0.289532293986637,0.1091314031180401,0.89086859688196,0.70125,0.29875,150,0.28846153846153844,43497.0
2009,49035101600,"Census Tract 1016, Salt Lake County, Utah",49,035,101600,1899,625,0,143,311,45,148,204,423,0,0,1899,1899,1660,239,1660,527,1133,3467,1126,2341,41250.0,70139.0,22695.0,1660,527,416,0,0,51,0,0,20,40,0,0,1133,138,0,95,240,39,148,160,313,0,0,1041.0,1470.0,481.0,41250.0,625,0.3291205897840969,0.12585571353343866,0.8741442864665614,0.6825301204819277,0.31746987951807226,138,0.2208,47444.0
